CNPJ_CIA,DT_REFER,ORIGEM,Target,Horizonte,Algoritmo,y_pred
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_ITR_T1,_ITR_T1,GradientBoosting,11362763.693349512
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_ITR_T1,_ITR_T1,GradientBoosting,1647361.6526665837
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_ITR_T1,_ITR_T1,GradientBoosting,464412.52054469043
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_ITR_T2,_ITR_T2,GradientBoosting,1929252.6279810239
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_ITR_T2,_ITR_T2,GradientBoosting,2269784.027996625
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_ITR_T2,_ITR_T2,GradientBoosting,511477.1761411152
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_ITR_T2,_ITR_T2,GradientBoosting,617194.6788488389
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_ITR_T3,_ITR_T3,GradientBoosting,266416.4776268876
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_ITR_T3,_ITR_T3,GradientBoosting,337285.08592999296
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_ITR_T3,_ITR_T3,GradientBoosting,257186.76102963014
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_ITR_T3,_ITR_T3,GradientBoosting,151908.96811485483
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_DFP,_DFP,GradientBoosting,1913381.1407512433
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_DFP,_DFP,GradientBoosting,3610008.908440385
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_DFP,_DFP,GradientBoosting,1576434.5824742357
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_DFC_MI_6.01_DFP,_DFP,GradientBoosting,1163098.112083502
