CNPJ_CIA,NOME_CIA,ANO,SETOR,ORIGEM,DT_REFER,X1_CG_AT,X2_PL_AT,X3_EBIT_AT,X4_PL_PT,altman_z_pp,zona_altman,comp_ok
02.998.611/0001-04,ISA CTEEP,2017,Energia,ITR,2017-03-31 03:00:00,0.11554780579233197,1.0,0.06551077294040013,1.4119444568094872,5.940767679807148,Segura,4
02.998.611/0001-04,ISA CTEEP,2017,Energia,ITR,2017-06-30 03:00:00,0.11499615156051511,1.0,0.18919095121499324,1.4209879042545825,6.777775245869044,Segura,4
02.998.611/0001-04,ISA CTEEP,2017,Energia,ITR,2017-09-30 03:00:00,0.10592959701136816,1.0,0.25757062763777433,1.417544256683714,7.1741942436383175,Segura,4
02.998.611/0001-04,ISA CTEEP,2017,Energia,DFP,2017-12-31 02:00:00,0.1074997914755434,1.0,0.28538099229586905,1.4390289738054645,7.393939322803542,Segura,4
02.998.611/0001-04,ISA CTEEP,2018,Energia,ITR,2018-03-31 03:00:00,0.11867605091368147,1.0,0.04645930560414956,1.4196555475153279,5.841359752544729,Segura,4
02.998.611/0001-04,ISA CTEEP,2018,Energia,ITR,2018-06-30 03:00:00,0.11956414436399129,1.0,0.09129711050171645,1.4786083055588934,6.210396090436156,Segura,4
02.998.611/0001-04,ISA CTEEP,2018,Energia,ITR,2018-09-30 03:00:00,0.1612144372217716,1.0,0.1980469958208354,1.5065815182018867,7.230353114202817,Segura,4
02.998.611/0001-04,ISA CTEEP,2018,Energia,DFP,2018-12-31 02:00:00,0.12258216705827736,1.0,0.30825187960192907,1.554744029186776,7.768072877473377,Segura,4
02.998.611/0001-04,ISA CTEEP,2019,Energia,ITR,2019-03-31 03:00:00,0.13209865034384746,1.0,0.06635359654691349,1.5422990129299705,6.191877278627367,Segura,4
02.998.611/0001-04,ISA CTEEP,2019,Energia,ITR,2019-06-30 03:00:00,0.1365812565734991,1.0,0.1461100255634053,1.5262879681490662,6.740434781464757,Segura,4
02.998.611/0001-04,ISA CTEEP,2019,Energia,ITR,2019-09-30 03:00:00,0.10321426440814004,1.0,0.20595062411732062,1.453295869048499,6.847034431086716,Segura,4
02.998.611/0001-04,ISA CTEEP,2019,Energia,DFP,2019-12-31 03:00:00,0.1536001000782718,1.0,0.26028689907085917,1.4045969444052817,7.491571409895181,Segura,4
02.998.611/0001-04,ISA CTEEP,2020,Energia,ITR,2020-03-31 03:00:00,0.09946276353718721,1.0,0.06999691338775013,1.4366410258595796,5.891328063922187,Segura,4
02.998.611/0001-04,ISA CTEEP,2020,Energia,ITR,2020-06-30 03:00:00,0.13957703984059253,1.0,0.2103799515762807,1.4804146851088487,7.143814075311184,Segura,4
02.998.611/0001-04,ISA CTEEP,2020,Energia,ITR,2020-09-30 03:00:00,0.13693888328143813,1.0,0.2783967408172959,1.470842544874952,7.573529844737161,Segura,4
02.998.611/0001-04,ISA CTEEP,2020,Energia,DFP,2020-12-31 03:00:00,0.16815634352752998,1.0,0.4440407666479156,1.586814737107947,9.013215039377933,Segura,4
02.998.611/0001-04,ISA CTEEP,2021,Energia,ITR,2021-03-31 03:00:00,0.0882055765317851,1.0,0.0748591635990841,1.6609714678787493,6.085702202707041,Segura,4
02.998.611/0001-04,ISA CTEEP,2021,Energia,ITR,2021-06-30 03:00:00,0.07536032809450578,1.0,0.1863291438237694,1.6907393909171127,6.7817719592586565,Segura,4
02.998.611/0001-04,ISA CTEEP,2021,Energia,ITR,2021-09-30 03:00:00,0.07692196920922174,1.0,0.2882672245793912,1.70841314471035,7.49559766913187,Segura,4
02.998.611/0001-04,ISA CTEEP,2021,Energia,DFP,2021-12-31 03:00:00,0.08691989115821487,1.0,0.39121680842002265,1.808567432797886,8.35816724301822,Segura,4
02.998.611/0001-04,ISA CTEEP,2022,Energia,ITR,2022-03-31 03:00:00,0.09405604664961255,1.0,0.10517042314325709,1.8144519363704605,6.48892744273313,Segura,4
02.998.611/0001-04,ISA CTEEP,2022,Energia,ITR,2022-06-30 03:00:00,0.11722887057622132,1.0,0.26404228614526015,1.8792276762536106,7.776574613942451,Segura,4
02.998.611/0001-04,ISA CTEEP,2022,Energia,ITR,2022-09-30 03:00:00,0.11967623752379884,1.0,0.3605136638734148,1.8377388327002933,8.397353713720776,Segura,4
