CNPJ_CIA,DT_REFER,ANO,Target,Variavel,Horizonte,Algoritmo,SchemaHash,SchemaLen,ModoEscala,y_true,y_pred,lb_90,ub_90,width_90,coberto,q_hat,alpha
61.079.117/0001-05,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,2193846.0,14.466628613227114,-100142098.74926624,100142127.68252346,200284226.4317897,True,100142113.21589485,0.1
61.079.117/0001-05,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,3309646.0,14.51518666302834,-100142098.70070818,100142127.73108152,200284226.4317897,True,100142113.21589485,0.1
61.079.117/0001-05,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,1229460.0,13.669067515178217,-100142099.54682733,100142126.88496237,200284226.4317897,True,100142113.21589485,0.1
61.079.117/0001-05,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,1229460.0,13.543264893458396,-100142099.67262995,100142126.75915974,200284226.4317897,True,100142113.21589485,0.1
81.243.735/0001-48,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,1557657.0,14.044435332519486,-100142099.17145951,100142127.26033019,200284226.4317897,True,100142113.21589485,0.1
81.243.735/0001-48,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,2363294.0,14.52139654839429,-100142098.6944983,100142127.7372914,200284226.4317897,True,100142113.21589485,0.1
81.243.735/0001-48,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,741387.0,13.618223254532806,-100142099.5976716,100142126.8341181,200284226.4317897,True,100142113.21589485,0.1
81.243.735/0001-48,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,741387.0,13.68103438987428,-100142099.53486046,100142126.89692923,200284226.4317897,True,100142113.21589485,0.1
82.901.000/0001-27,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,2167715.0,14.429370918322114,-100142098.78652392,100142127.64526577,200284226.4317897,True,100142113.21589485,0.1
82.901.000/0001-27,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,3292404.0,14.975927670873315,-100142098.23996718,100142128.19182251,200284226.4317897,True,100142113.21589485,0.1
82.901.000/0001-27,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,1110638.0,13.985440974312008,-100142099.23045388,100142127.20133582,200284226.4317897,True,100142113.21589485,0.1
82.901.000/0001-27,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,1110638.0,13.851825082917498,-100142099.36406976,100142127.06771994,200284226.4317897,True,100142113.21589485,0.1
84.429.695/0001-11,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,20285798.0,16.74217020332146,-100142096.47372465,100142129.95806505,200284226.4317897,True,100142113.21589485,0.1
84.429.695/0001-11,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,30557320.0,17.32306259614656,-100142095.89283225,100142130.53895745,200284226.4317897,True,100142113.21589485,0.1
84.429.695/0001-11,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,9468313.0,16.300251430623323,-100142096.91564342,100142129.51614627,200284226.4317897,True,100142113.21589485,0.1
84.429.695/0001-11,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,9468313.0,15.932811844192612,-100142097.283083,100142129.14870669,200284226.4317897,True,100142113.21589485,0.1
89.637.490/0001-45,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,10105736.0,16.018228219350334,-100142097.19766663,100142129.23412307,200284226.4317897,True,100142113.21589485,0.1
89.637.490/0001-45,2025-06-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,15532203.0,16.59655048174765,-100142096.61934437,100142129.81244533,200284226.4317897,True,100142113.21589485,0.1
89.637.490/0001-45,2025-09-30 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,4945957.0,15.513848700384072,-100142097.70204614,100142128.72974356,200284226.4317897,True,100142113.21589485,0.1
89.637.490/0001-45,2025-12-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,4945957.0,15.049888890012351,-100142098.16600595,100142128.26578374,200284226.4317897,True,100142113.21589485,0.1
92.754.738/0001-62,2025-03-31 03:00:00,2025,TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,23de6ffb5146,153,raw,7425142.0,15.687575857594911,-100142097.52831899,100142128.90347071,200284226.4317897,True,100142113.21589485,0.1
