feature,importancia_total,rank,familia
TARGET_DFC_MI_6.01_ITR_T1_lag1,0.33622031661499946,27,Lag/Roll
pos_setor_BPA_1,0.3206063156887413,28,Posição Setor
TARGET_DRE_3.11_ITR_T1_lag1,0.30798278225851655,29,Lag/Roll
TARGET_DRE_3.01_ITR_T3_lag2,0.29843483466675724,30,Lag/Roll
EBITDA_roll4_mean,0.2864803224175531,31,Lag/Roll
pos_setor_EBITDA,0.28430254488171613,32,Posição Setor
TARGET_DRE_3.01_ITR_T2_lag4,0.26978478560836766,33,Lag/Roll
pos_setor_BPP_2.01,0.2621732745878529,34,Posição Setor
pos_setor_DRE_3.01,0.24338610245098027,35,Posição Setor
TARGET_EBITDA_ITR_T3_growth1,0.21836783417077182,36,Outro
conversao_caixa,0.19859977888976268,37,KPI base
EBITDA_diff1,0.1966591444116903,38,Outro
pos_ciclo,0.16171173910294917,39,Outro
int_setor_Tecnologia_macro_ipca,0.14921987099140593,40,Outro
giro_ativo_diff1,0.14202638082785649,41,Outro
prop_DRE_3.01,0.13624930126861506,42,Outro
roe,0.13286139642757777,43,KPI base
ratio_alavancagem_impl,0.12957629099797388,44,Razão/Cruzada
TARGET_EBITDA_ITR_T3_lag2,0.1225437924681029,45,Lag/Roll
int_setor_Commodities_macro_ipca,0.11932933903501658,46,Outro
margem_bruta,0.1096300014806871,47,KPI base
TARGET_DRE_3.11_ITR_T3_roll4_mean,0.10889352318873759,48,Lag/Roll
pos_setor_DRE_3.11,0.10348265183120121,49,Posição Setor
TARGET_DRE_3.11_DFP_growth1,0.09815031078256523,50,Outro
EBITDA_roll2_mean,0.09310298720074309,51,Lag/Roll
div_liquida_roll4_mean,0.08752268892659708,52,Lag/Roll
margem_ebit,0.08261942072671061,53,KPI base
fco_lucro,0.08034866259296304,54,KPI base
ratio_efic_endiv,0.07935444687083894,55,Razão/Cruzada
conversao_caixa_lag1,0.07423462426249133,56,Lag/Roll
int_setor_Varejo_macro_ipca,0.07232886512025194,57,Outro
TARGET_EBITDA_ITR_T1_lag4,0.07156595566459201,58,Lag/Roll
ano_norm,0.06208411395330418,59,Temporal
margem_ebitda_lag1,0.061076736975524945,60,Lag/Roll
macro_selic_roll4_mean,0.06100605640937264,61,Macro
liquidez_corrente,0.05845802140913304,62,KPI base
giro_ativo_growth1,0.05742161435515117,63,Outro
TARGET_DRE_3.11_DFP_lag4,0.05646288679699723,64,Lag/Roll
giro_ativo_lag2,0.05501153829405725,65,Lag/Roll
tri_3,0.05448860015669827,66,Sazonalidade
prop_DFC_MI_6.01,0.05447599601587811,67,Outro
macro_cambio,0.05440669045159821,68,Macro
FCF,0.053953991296596844,69,KPI base
ratio_cobertura_divida,0.053567925671678125,70,Razão/Cruzada
roa,0.05301610307343929,71,KPI base
