SETOR,Target,N_obs_raw,N_obs_validas,Modo,Score_alinhamento,Ratio_mediano
Varejo,TARGET_BPA_1.01_ITR_T3,25,25,raw_raw,29.0,1.0981163275343804
Varejo,TARGET_BPA_1_DFP,35,35,raw_raw,39.0,0.9237766336971738
Varejo,TARGET_BPA_1_ITR_T1,40,40,raw_raw,44.0,0.8468030879742778
Varejo,TARGET_BPA_1_ITR_T2,30,30,raw_raw,34.0,0.9532261935725076
Varejo,TARGET_BPA_1_ITR_T3,25,25,raw_raw,29.0,1.0211351189066618
Varejo,TARGET_BPP_2.01_DFP,35,35,raw_raw,39.0,0.7674011187604176
Varejo,TARGET_BPP_2.01_ITR_T1,40,40,raw_raw,44.0,1.0657935094535245
Varejo,TARGET_BPP_2.01_ITR_T2,30,30,raw_raw,34.0,0.9901362475005264
Varejo,TARGET_BPP_2.01_ITR_T3,25,25,raw_raw,29.0,0.8865240862231893
Varejo,TARGET_BPP_2.03_DFP,35,35,raw_raw,39.0,0.9184948264817636
Varejo,TARGET_BPP_2.03_ITR_T1,40,40,raw_raw,44.0,0.9387200598715429
Varejo,TARGET_BPP_2.03_ITR_T2,30,30,raw_raw,34.0,0.9825276763396552
Varejo,TARGET_BPP_2.03_ITR_T3,25,25,raw_raw,29.0,1.011782012220677
Varejo,TARGET_BPP_2_DFP,35,35,raw_raw,39.0,0.9237766336971738
Varejo,TARGET_BPP_2_ITR_T1,40,40,raw_raw,44.0,0.8468030879742823
Varejo,TARGET_BPP_2_ITR_T2,30,30,raw_raw,34.0,0.9532261935725076
Varejo,TARGET_BPP_2_ITR_T3,25,25,raw_raw,29.0,1.0211351189066618
Varejo,TARGET_DFC_MI_6.01_DFP,35,35,raw_raw,37.0,0.23760901200289652
Varejo,TARGET_DFC_MI_6.01_ITR_T1,40,40,raw_raw,39.0,0.0029111993339273005
Varejo,TARGET_DFC_MI_6.01_ITR_T2,30,30,raw_raw,29.0,0.03750782212972352
Varejo,TARGET_DFC_MI_6.01_ITR_T3,25,25,raw_raw,24.0,0.004085551368234482
Varejo,TARGET_DRE_3.01_DFP,35,35,raw_raw,39.0,0.7602595540190514
Varejo,TARGET_DRE_3.01_ITR_T1,40,40,raw_raw,44.0,0.8780953701833597
Varejo,TARGET_DRE_3.01_ITR_T2,30,30,raw_raw,34.0,1.0319661823966355
Varejo,TARGET_DRE_3.01_ITR_T3,25,25,raw_raw,29.0,0.9159541077821259
Varejo,TARGET_DRE_3.11_DFP,35,35,raw_raw,39.0,0.76756665020564
Varejo,TARGET_DRE_3.11_ITR_T1,40,40,raw_raw,44.0,0.6933003885755368
Varejo,TARGET_DRE_3.11_ITR_T2,30,30,raw_raw,34.0,1.2261940056487821
Varejo,TARGET_DRE_3.11_ITR_T3,25,25,raw_raw,29.0,0.6110284525876067
Varejo,TARGET_EBITDA_DFP,35,35,raw_raw,39.0,0.8531987124522009
Varejo,TARGET_EBITDA_ITR_T1,40,40,raw_raw,44.0,1.0102685355517964
Varejo,TARGET_EBITDA_ITR_T2,30,30,raw_raw,34.0,0.9394925281534063
Varejo,TARGET_EBITDA_ITR_T3,25,25,raw_raw,29.0,0.9916237357399039
