cnpj,empresa,setor,ano_base,target,variavel,algoritmo,y_pred_2026_bi
02.474.103/0001-19,Engie Brasil,Energia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,2.1103
02.474.103/0001-19,Engie Brasil,Energia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,2.3923
02.474.103/0001-19,Engie Brasil,Energia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,4.0218
02.474.103/0001-19,Engie Brasil,Energia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,19.8573
02.474.103/0001-19,Engie Brasil,Energia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,6.7779
02.474.103/0001-19,Engie Brasil,Energia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,9.9949
03.220.438/0001-73,Equatorial Energia,Energia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,10.4468
03.220.438/0001-73,Equatorial Energia,Energia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,25.6064
03.220.438/0001-73,Equatorial Energia,Energia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,24.1821
03.220.438/0001-73,Equatorial Energia,Energia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,0.9861
03.220.438/0001-73,Equatorial Energia,Energia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,1.8245
03.220.438/0001-73,Equatorial Energia,Energia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,5.3491
03.220.438/0001-73,Equatorial Energia,Energia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,25.6064
03.220.438/0001-73,Equatorial Energia,Energia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,7.8969
03.220.438/0001-73,Equatorial Energia,Energia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,14.9958
02.998.611/0001-04,ISA CTEEP,Energia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,7.0859
02.998.611/0001-04,ISA CTEEP,Energia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,18.4807
02.998.611/0001-04,ISA CTEEP,Energia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,16.1781
02.998.611/0001-04,ISA CTEEP,Energia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,1.0406
02.998.611/0001-04,ISA CTEEP,Energia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,2.1011
02.998.611/0001-04,ISA CTEEP,Energia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,2.1641
02.998.611/0001-04,ISA CTEEP,Energia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,18.4807
